Data,GPRC_POL
2020-01-01,0.6884
2020-02-01,0.0605
2020-03-01,0.22
2020-04-01,0.2794
2020-05-01,0.1598
2020-06-01,0.3317
2020-07-01,0.4829
2020-08-01,0.4772
2020-09-01,0.9297
2020-10-01,0.7167
2020-11-01,0.8864
2020-12-01,0.6789
2021-01-01,0.1553
2021-02-01,0.7078
2021-03-01,0.0533
2021-04-01,0.5025
2021-05-01,0.2183
2021-06-01,0.342
2021-07-01,0.9036
2021-08-01,1.4501
2021-09-01,0.5704
2021-10-01,2.0461
2021-11-01,6.4818
2021-12-01,1.8478
2022-01-01,0.8256
2022-02-01,11.1587
2022-03-01,32.0048
2022-04-01,12.2486
2022-05-01,5.0396
2022-06-01,2.8955
2022-07-01,1.545
2022-08-01,2.8192
2022-09-01,2.6856
2022-10-01,2.4466
2022-11-01,5.561
2022-12-01,1.9473
2023-01-01,5.1738
2023-02-01,4.5424
2023-03-01,3.7634
2023-04-01,3.4029
2023-05-01,0.397
2023-06-01,1.227
2023-07-01,3.7813
2023-08-01,1.5346
2023-09-01,1.9448
2023-10-01,2.5306
2023-11-01,1.4319
2023-12-01,1.9725
2024-01-01,0.7265
2024-02-01,0.4372
2024-03-01,1.286
2024-04-01,1.9298
2024-05-01,1.106
2024-06-01,1.3362
2024-07-01,1.4243
2024-08-01,1.2253
2024-09-01,0.5826
2024-10-01,1.4028
2024-11-01,1.4898
2024-12-01,0.2989
2025-01-01,1.223
2025-02-01,1.1153
2025-03-01,2.8228
2025-04-01,1.5156
2025-05-01,0.9644
2025-06-01,2.2404
2025-07-01,1.0159
2025-08-01,0.4829
2025-09-01,11.0614
2025-10-01,2.3289
2025-11-01,2.2151
2025-12-01,1.15
2026-01-01,1.3387
2026-02-01,1.6609
2026-03-01,0.5899
2026-04-01,0.9091
